id	context	sentence	index	graph	variable_name	predicate	broad_aspect_1	broad_aspect_2	broad_aspect_3	broad_aspect_4	broad_aspect_5	adjudicated	second_choice_adjudicated	compare	alignment	flag	reason_for_flag					
lpp_1943.23	I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .	At a glance I can distinguish China from Arizona .	1: At 2: a 3: glance 4: I 5: can 6: distinguish 7: China 8: from 9: Arizona 10: .	(s23p / possible-01       :ARG1 (s23d / distinguish-01                   :ARG0 (s23i / i)                   :ARG1 (s23c / country                               :name (s23n / name                                           :op1 "China")                               :wiki "China")                   :ARG2 (s23s / state                               :name (s23n2 / name                                            :op1 "Arizona")                               :wiki "Arizona")                   :manner (s23g / glance-01                                 :ARG0 s23i)))	s23d	distinguish-01	state	state				state		TRUE	s23p: 5-5; s23d: 6-6; s23i: 4-4; s23c: 7-7; s23n: 0-0; s23s: 9-9; s23n2: 0-0; s23g: 3-3	FALSE						
lpp_1943.23	I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .	At a glance I can distinguish China from Arizona .	1: At 2: a 3: glance 4: I 5: can 6: distinguish 7: China 8: from 9: Arizona 10: .	(s23p / possible-01       :ARG1 (s23d / distinguish-01                   :ARG0 (s23i / i)                   :ARG1 (s23c / country                               :name (s23n / name                                           :op1 "China")                               :wiki "China")                   :ARG2 (s23s / state                               :name (s23n2 / name                                            :op1 "Arizona")                               :wiki "Arizona")                   :manner (s23g / glance-01                                 :ARG0 s23i)))	s23g	glance-01	endeavor	endeavor				endeavor		TRUE	s23p: 5-5; s23d: 6-6; s23i: 4-4; s23c: 7-7; s23n: 0-0; s23s: 9-9; s23n2: 0-0; s23g: 3-3	FALSE						
lpp_1943.24	At a glance I can distinguish China from Arizona .	If one gets lost in the night , such knowledge is valuable .	1: If 2: one 3: gets 4: lost 5: in 6: the 7: night 8: , 9: such 10: knowledge 11: is 12: valuable 13: .	(s24v / value-02       :ARG1 (s24k / knowledge                   :mod (s24s / such))       :condition (s24g / get-03                        :ARG1 (s24o / one)                        :ARG2 (s24l / lost                                    :temporal (s24d / date-entity                                                    :dayperiod (s24n / night)))))	s24v	value-02	state	state				state		TRUE	s24v: 12-12; s24k: 10-10; s24s: 9-9; s24g: 3-3; s24o: 2-2; s24l: 4-4; s24d: 7-7; s24n: 7-7	FALSE						
lpp_1943.24	At a glance I can distinguish China from Arizona .	If one gets lost in the night , such knowledge is valuable .	1: If 2: one 3: gets 4: lost 5: in 6: the 7: night 8: , 9: such 10: knowledge 11: is 12: valuable 13: .	(s24v / value-02       :ARG1 (s24k / knowledge                   :mod (s24s / such))       :condition (s24g / get-03                        :ARG1 (s24o / one)                        :ARG2 (s24l / lost                                    :temporal (s24d / date-entity                                                    :dayperiod (s24n / night)))))	s24g	get-03	performance	performance				performance		TRUE	s24v: 12-12; s24k: 10-10; s24s: 9-9; s24g: 3-3; s24o: 2-2; s24l: 4-4; s24d: 7-7; s24n: 7-7	FALSE						
lpp_1943.25	If one gets lost in the night , such knowledge is valuable .	In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence .	1: In 2: the 3: course 4: of 5: this 6: life 7: I 8: have 9: had 10: a 11: great 12: many 13: encounters 14: with 15: a 16: great 17: many 18: people 19: who 20: have 21: been 22: concerned 23: with 24: matters 25: of 26: consequence 27: .	(s25e / encounter-01       :ARG0 (s25i / i)       :ARG1 (s25p / person                   :quant (s25m2 / many                                 :mod (s25g2 / great))                   :ARG1-of (s25c / concern-01                                  :ARG0 (s25m3 / matter                                               :ARG1-of (s25c2 / consequential-01))))       :quant (s25m / many                    :mod (s25g / great))       :temporal (s25c3 / course                        :possessor (s25l / life                                         :mod (s25t / this))))	s25e	encounter-01	habitual	process	habitual			habitual		FALSE	s25e: 13-13; s25i: 7-7; s25p: 18-18; s25m2: 17-17; s25g2: 16-16; s25c: 22-22; s25m3: 24-24; s25c2: 26-26; s25m: 12-12; s25g: 11-11; s25c3: 3-3; s25l: 6-6; s25t: 5-5	FALSE						
lpp_1943.25	If one gets lost in the night , such knowledge is valuable .	In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence .	1: In 2: the 3: course 4: of 5: this 6: life 7: I 8: have 9: had 10: a 11: great 12: many 13: encounters 14: with 15: a 16: great 17: many 18: people 19: who 20: have 21: been 22: concerned 23: with 24: matters 25: of 26: consequence 27: .	(s25e / encounter-01       :ARG0 (s25i / i)       :ARG1 (s25p / person                   :quant (s25m2 / many                                 :mod (s25g2 / great))                   :ARG1-of (s25c / concern-01                                  :ARG0 (s25m3 / matter                                               :ARG1-of (s25c2 / consequential-01))))       :quant (s25m / many                    :mod (s25g / great))       :temporal (s25c3 / course                        :possessor (s25l / life                                         :mod (s25t / this))))	s25c	concern-01	state	state				state		TRUE	s25e: 13-13; s25i: 7-7; s25p: 18-18; s25m2: 17-17; s25g2: 16-16; s25c: 22-22; s25m3: 24-24; s25c2: 26-26; s25m: 12-12; s25g: 11-11; s25c3: 3-3; s25l: 6-6; s25t: 5-5	FALSE						
lpp_1943.25	If one gets lost in the night , such knowledge is valuable .	In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence .	1: In 2: the 3: course 4: of 5: this 6: life 7: I 8: have 9: had 10: a 11: great 12: many 13: encounters 14: with 15: a 16: great 17: many 18: people 19: who 20: have 21: been 22: concerned 23: with 24: matters 25: of 26: consequence 27: .	(s25e / encounter-01       :ARG0 (s25i / i)       :ARG1 (s25p / person                   :quant (s25m2 / many                                 :mod (s25g2 / great))                   :ARG1-of (s25c / concern-01                                  :ARG0 (s25m3 / matter                                               :ARG1-of (s25c2 / consequential-01))))       :quant (s25m / many                    :mod (s25g / great))       :temporal (s25c3 / course                        :possessor (s25l / life                                         :mod (s25t / this))))	s25c2	consequential-01	none	none				none		TRUE	s25e: 13-13; s25i: 7-7; s25p: 18-18; s25m2: 17-17; s25g2: 16-16; s25c: 22-22; s25m3: 24-24; s25c2: 26-26; s25m: 12-12; s25g: 11-11; s25c3: 3-3; s25l: 6-6; s25t: 5-5	FALSE						
lpp_1943.26	In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence .	I have lived a great deal among grown - ups .	1: I 2: have 3: lived 4: a 5: great 6: deal 7: among 8: grown 9: - 10: ups 11: .	(s26l / live-01       :ARG0 (s26i / i)       :mod (s26d / deal                  :mod (s26g2 / great))       :place (s26a / among                    :op1 (s26g / grown-up)))	s26l	live-01	state	state				state		TRUE	s26l: 3-3; s26i: 1-1; s26d: 6-6; s26g2: 5-5; s26a: 7-7; s26g: 8-10	FALSE						
lpp_1943.27	I have lived a great deal among grown - ups .	I have seen them intimately , close at hand .	1: I 2: have 3: seen 4: them 5: intimately 6: , 7: close 8: at 9: hand 10: .	(s27s / see-01       :ARG0 (s27i / i)       :ARG1 (s27t / they)       :ARG1-of (s27c / close-10                      :ARG2 (s27a / at-hand-14                                  :ARG1 s27t))       :ARG2-of (s27i2 / intimate-02                       :ARG1 s27i))	s27s	see-01	state	state				state		TRUE	s27s: 3-3; s27i: 1-1; s27t: 4-4; s27c: 7-7; s27a: 8-9; s27t: 4-4; s27i2: 5-5	FALSE						
lpp_1943.27	I have lived a great deal among grown - ups .	I have seen them intimately , close at hand .	1: I 2: have 3: seen 4: them 5: intimately 6: , 7: close 8: at 9: hand 10: .	(s27s / see-01       :ARG0 (s27i / i)       :ARG1 (s27t / they)       :ARG1-of (s27c / close-10                      :ARG2 (s27a / at-hand-14                                  :ARG1 s27t))       :ARG2-of (s27i2 / intimate-02                       :ARG1 s27i))	s27c	close-10	none	none				none		TRUE	s27s: 3-3; s27i: 1-1; s27t: 4-4; s27c: 7-7; s27a: 8-9; s27t: 4-4; s27i2: 5-5	FALSE						
lpp_1943.27	I have lived a great deal among grown - ups .	I have seen them intimately , close at hand .	1: I 2: have 3: seen 4: them 5: intimately 6: , 7: close 8: at 9: hand 10: .	(s27s / see-01       :ARG0 (s27i / i)       :ARG1 (s27t / they)       :ARG1-of (s27c / close-10                      :ARG2 (s27a / at-hand-14                                  :ARG1 s27t))       :ARG2-of (s27i2 / intimate-02                       :ARG1 s27i))	s27a	at-hand-14	none	none				none		TRUE	s27s: 3-3; s27i: 1-1; s27t: 4-4; s27c: 7-7; s27a: 8-9; s27t: 4-4; s27i2: 5-5	FALSE						
lpp_1943.27	I have lived a great deal among grown - ups .	I have seen them intimately , close at hand .	1: I 2: have 3: seen 4: them 5: intimately 6: , 7: close 8: at 9: hand 10: .	(s27s / see-01       :ARG0 (s27i / i)       :ARG1 (s27t / they)       :ARG1-of (s27c / close-10                      :ARG2 (s27a / at-hand-14                                  :ARG1 s27t))       :ARG2-of (s27i2 / intimate-02                       :ARG1 s27i))	s27i2	intimate-02	none	none				none		TRUE	s27s: 3-3; s27i: 1-1; s27t: 4-4; s27c: 7-7; s27a: 8-9; s27t: 4-4; s27i2: 5-5	FALSE						
lpp_1943.28	I have seen them intimately , close at hand .	And that has n't much improved my opinion of them .	1: And 2: that 3: has 4: n't 5: much 6: improved 7: my 8: opinion 9: of 10: them 11: .	(s28a / and       :op2 (s28i / improve-01                  :ARG0 (s28t / that)                  :ARG1 (s28t3 / thing                               :ARG1-of (s28o2 / opine-01                                               :ARG0 (s28i2 / i)                                               :topic (s28t2 / they)))                  :degree intensifier                  :polarity -))	s28i	improve-01	performance	performance				performance		TRUE	s28a: 1-1; s28i: 6-6; s28t: 2-2; s28t3: 0-0; s28o2: 8-8; s28i2: 7-7; s28t2: 10-10	FALSE						
lpp_1943.28	I have seen them intimately , close at hand .	And that has n't much improved my opinion of them .	1: And 2: that 3: has 4: n't 5: much 6: improved 7: my 8: opinion 9: of 10: them 11: .	(s28a / and       :op2 (s28i / improve-01                  :ARG0 (s28t / that)                  :ARG1 (s28t3 / thing                               :ARG1-of (s28o2 / opine-01                                               :ARG0 (s28i2 / i)                                               :topic (s28t2 / they)))                  :degree intensifier                  :polarity -))	s28o2	opine-01	none	none				none		TRUE	s28a: 1-1; s28i: 6-6; s28t: 2-2; s28t3: 0-0; s28o2: 8-8; s28i2: 7-7; s28t2: 10-10	FALSE						
lpp_1943.29	And that has n't much improved my opinion of them .	Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .	1: Whenever 2: I 3: met 4: one 5: of 6: them 7: who 8: seemed 9: to 10: me 11: at 12: all 13: clear 14: - 15: sighted 16: , 17: I 18: tried 19: the 20: experiment 21: of 22: showing 23: him 24: my 25: Drawing 26: Number 27: One 28: , 29: which 30: I 31: have 32: always 33: kept 34: .	(s29t / try-01       :ARG0 (s29i / i)       :ARG1 (s29e / experiment-01                   :ARG1 (s29s / show-01                               :ARG1 (s29w / work-of-art                                           :name (s29n / name                                                       :op1 "Drawing"                                                       :op2 "Number"                                                       :op3 "One")                                           :wiki -)                               :ARG2 (s29p / person                                           :ARG1-of (s29i2 / include-91                                                           :ARG2 (s29t3 / they))                                           :ARG0-of (s29s3 / see-01                                                           :ARG1-of (s29c / clear-08)                                                           :ARG1-of (s29s4 / seem-01                                                                           :ARG2 s29i)                                                           :degree (s29a3 / at-all)))                               :ARG1-of (s29k / keep-01                                              :ARG0 s29i                                              :temporal (s29a / always))))       :temporal (s29m / meet-02                       :ARG0 s29i                       :ARG1 s29p                       :mod (s29a2 / any)))	s29t	try-01	habitual	habitual				habitual		TRUE	s29t: 18-18; s29i: 2-2; s29e: 20-20; s29s: 22-22; s29w: 25-27; s29n: 0-0; s29p: 0-0; s29i2: 0-0; s29t3: 6-6; s29s3: 15-15; s29c: 13-13; s29s4: 8-8; s29a3: 11-12; s29k: 33-33; s29a: 32-32; s29m: 3-3; s29a2: 0-0	FALSE						
lpp_1943.29	And that has n't much improved my opinion of them .	Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .	1: Whenever 2: I 3: met 4: one 5: of 6: them 7: who 8: seemed 9: to 10: me 11: at 12: all 13: clear 14: - 15: sighted 16: , 17: I 18: tried 19: the 20: experiment 21: of 22: showing 23: him 24: my 25: Drawing 26: Number 27: One 28: , 29: which 30: I 31: have 32: always 33: kept 34: .	(s29t / try-01       :ARG0 (s29i / i)       :ARG1 (s29e / experiment-01                   :ARG1 (s29s / show-01                               :ARG1 (s29w / work-of-art                                           :name (s29n / name                                                       :op1 "Drawing"                                                       :op2 "Number"                                                       :op3 "One")                                           :wiki -)                               :ARG2 (s29p / person                                           :ARG1-of (s29i2 / include-91                                                           :ARG2 (s29t3 / they))                                           :ARG0-of (s29s3 / see-01                                                           :ARG1-of (s29c / clear-08)                                                           :ARG1-of (s29s4 / seem-01                                                                           :ARG2 s29i)                                                           :degree (s29a3 / at-all)))                               :ARG1-of (s29k / keep-01                                              :ARG0 s29i                                              :temporal (s29a / always))))       :temporal (s29m / meet-02                       :ARG0 s29i                       :ARG1 s29p                       :mod (s29a2 / any)))	s29e	experiment-01	process	process				process		TRUE	s29t: 18-18; s29i: 2-2; s29e: 20-20; s29s: 22-22; s29w: 25-27; s29n: 0-0; s29p: 0-0; s29i2: 0-0; s29t3: 6-6; s29s3: 15-15; s29c: 13-13; s29s4: 8-8; s29a3: 11-12; s29k: 33-33; s29a: 32-32; s29m: 3-3; s29a2: 0-0	FALSE						
lpp_1943.29	And that has n't much improved my opinion of them .	Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .	1: Whenever 2: I 3: met 4: one 5: of 6: them 7: who 8: seemed 9: to 10: me 11: at 12: all 13: clear 14: - 15: sighted 16: , 17: I 18: tried 19: the 20: experiment 21: of 22: showing 23: him 24: my 25: Drawing 26: Number 27: One 28: , 29: which 30: I 31: have 32: always 33: kept 34: .	(s29t / try-01       :ARG0 (s29i / i)       :ARG1 (s29e / experiment-01                   :ARG1 (s29s / show-01                               :ARG1 (s29w / work-of-art                                           :name (s29n / name                                                       :op1 "Drawing"                                                       :op2 "Number"                                                       :op3 "One")                                           :wiki -)                               :ARG2 (s29p / person                                           :ARG1-of (s29i2 / include-91                                                           :ARG2 (s29t3 / they))                                           :ARG0-of (s29s3 / see-01                                                           :ARG1-of (s29c / clear-08)                                                           :ARG1-of (s29s4 / seem-01                                                                           :ARG2 s29i)                                                           :degree (s29a3 / at-all)))                               :ARG1-of (s29k / keep-01                                              :ARG0 s29i                                              :temporal (s29a / always))))       :temporal (s29m / meet-02                       :ARG0 s29i                       :ARG1 s29p                       :mod (s29a2 / any)))	s29s	show-01	habitual	habitual				habitual		TRUE	s29t: 18-18; s29i: 2-2; s29e: 20-20; s29s: 22-22; s29w: 25-27; s29n: 0-0; s29p: 0-0; s29i2: 0-0; s29t3: 6-6; s29s3: 15-15; s29c: 13-13; s29s4: 8-8; s29a3: 11-12; s29k: 33-33; s29a: 32-32; s29m: 3-3; s29a2: 0-0	FALSE						
lpp_1943.29	And that has n't much improved my opinion of them .	Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .	1: Whenever 2: I 3: met 4: one 5: of 6: them 7: who 8: seemed 9: to 10: me 11: at 12: all 13: clear 14: - 15: sighted 16: , 17: I 18: tried 19: the 20: experiment 21: of 22: showing 23: him 24: my 25: Drawing 26: Number 27: One 28: , 29: which 30: I 31: have 32: always 33: kept 34: .	(s29t / try-01       :ARG0 (s29i / i)       :ARG1 (s29e / experiment-01                   :ARG1 (s29s / show-01                               :ARG1 (s29w / work-of-art                                           :name (s29n / name                                                       :op1 "Drawing"                                                       :op2 "Number"                                                       :op3 "One")                                           :wiki -)                               :ARG2 (s29p / person                                           :ARG1-of (s29i2 / include-91                                                           :ARG2 (s29t3 / they))                                           :ARG0-of (s29s3 / see-01                                                           :ARG1-of (s29c / clear-08)                                                           :ARG1-of (s29s4 / seem-01                                                                           :ARG2 s29i)                                                           :degree (s29a3 / at-all)))                               :ARG1-of (s29k / keep-01                                              :ARG0 s29i                                              :temporal (s29a / always))))       :temporal (s29m / meet-02                       :ARG0 s29i                       :ARG1 s29p                       :mod (s29a2 / any)))	s29i2	include-91	none	none				none		TRUE	s29t: 18-18; s29i: 2-2; s29e: 20-20; s29s: 22-22; s29w: 25-27; s29n: 0-0; s29p: 0-0; s29i2: 0-0; s29t3: 6-6; s29s3: 15-15; s29c: 13-13; s29s4: 8-8; s29a3: 11-12; s29k: 33-33; s29a: 32-32; s29m: 3-3; s29a2: 0-0	FALSE						
lpp_1943.29	And that has n't much improved my opinion of them .	Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .	1: Whenever 2: I 3: met 4: one 5: of 6: them 7: who 8: seemed 9: to 10: me 11: at 12: all 13: clear 14: - 15: sighted 16: , 17: I 18: tried 19: the 20: experiment 21: of 22: showing 23: him 24: my 25: Drawing 26: Number 27: One 28: , 29: which 30: I 31: have 32: always 33: kept 34: .	(s29t / try-01       :ARG0 (s29i / i)       :ARG1 (s29e / experiment-01                   :ARG1 (s29s / show-01                               :ARG1 (s29w / work-of-art                                           :name (s29n / name                                                       :op1 "Drawing"                                                       :op2 "Number"                                                       :op3 "One")                                           :wiki -)                               :ARG2 (s29p / person                                           :ARG1-of (s29i2 / include-91                                                           :ARG2 (s29t3 / they))                                           :ARG0-of (s29s3 / see-01                                                           :ARG1-of (s29c / clear-08)                                                           :ARG1-of (s29s4 / seem-01                                                                           :ARG2 s29i)                                                           :degree (s29a3 / at-all)))                               :ARG1-of (s29k / keep-01                                              :ARG0 s29i                                              :temporal (s29a / always))))       :temporal (s29m / meet-02                       :ARG0 s29i                       :ARG1 s29p                       :mod (s29a2 / any)))	s29s3	see-01	none	state	state			state		FALSE	s29t: 18-18; s29i: 2-2; s29e: 20-20; s29s: 22-22; s29w: 25-27; s29n: 0-0; s29p: 0-0; s29i2: 0-0; s29t3: 6-6; s29s3: 15-15; s29c: 13-13; s29s4: 8-8; s29a3: 11-12; s29k: 33-33; s29a: 32-32; s29m: 3-3; s29a2: 0-0	FALSE						
lpp_1943.29	And that has n't much improved my opinion of them .	Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .	1: Whenever 2: I 3: met 4: one 5: of 6: them 7: who 8: seemed 9: to 10: me 11: at 12: all 13: clear 14: - 15: sighted 16: , 17: I 18: tried 19: the 20: experiment 21: of 22: showing 23: him 24: my 25: Drawing 26: Number 27: One 28: , 29: which 30: I 31: have 32: always 33: kept 34: .	(s29t / try-01       :ARG0 (s29i / i)       :ARG1 (s29e / experiment-01                   :ARG1 (s29s / show-01                               :ARG1 (s29w / work-of-art                                           :name (s29n / name                                                       :op1 "Drawing"                                                       :op2 "Number"                                                       :op3 "One")                                           :wiki -)                               :ARG2 (s29p / person                                           :ARG1-of (s29i2 / include-91                                                           :ARG2 (s29t3 / they))                                           :ARG0-of (s29s3 / see-01                                                           :ARG1-of (s29c / clear-08)                                                           :ARG1-of (s29s4 / seem-01                                                                           :ARG2 s29i)                                                           :degree (s29a3 / at-all)))                               :ARG1-of (s29k / keep-01                                              :ARG0 s29i                                              :temporal (s29a / always))))       :temporal (s29m / meet-02                       :ARG0 s29i                       :ARG1 s29p                       :mod (s29a2 / any)))	s29c	clear-08	none	state	none			none		FALSE	s29t: 18-18; s29i: 2-2; s29e: 20-20; s29s: 22-22; s29w: 25-27; s29n: 0-0; s29p: 0-0; s29i2: 0-0; s29t3: 6-6; s29s3: 15-15; s29c: 13-13; s29s4: 8-8; s29a3: 11-12; s29k: 33-33; s29a: 32-32; s29m: 3-3; s29a2: 0-0	FALSE						
